person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_encoded,loan_intent_encoded,loan_grade_encoded,cb_person_default_on_file_encoded,debt_to_income
22,10.778977123006351,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,3,1,4,0,2783.1954421694454
24,11.06665398721974,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,3,0,3,1,2710.8464794006686
25,11.225256725762893,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,3,2,3,1,2672.544667165386
23,11.177466714598282,RENT,3.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.42,N,4,3,0,3,0,2683.9713117480037
26,11.035711906538346,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,3,3,4,0,2718.4471880084016
24,9.392745258631441,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,2,5,1,0,266.1628662506982
26,12.611541086966115,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0,5,0,0,1585.8490141755772
23,12.611541086966115,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,2,1,5,1,1922.8419296878872
26,12.611541086966115,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,2,2,1,0,792.9245070877886
26,12.611541086966115,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0,1,3,0,1982.3112677194715
25,12.611541086966115,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0,2,4,0,1427.2641127580193
26,11.29838232387519,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,3,4,0,0,2655.2473743613245
22,11.101960259016467,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,3,3,1,0,2702.2254899206177
26,11.396717438335704,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,3,0,0,0,2632.336913003345
24,11.264476926102367,RENT,4.0,DEBTCONSOLIDATION,D,30000,10.99,1,0.38,Y,4,3,0,3,1,2663.2395091939998
23,11.264476926102367,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,3,0,5,1,2663.2395091939998
23,11.429598202380475,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,3,4,2,1,2624.7641840770757
23,11.48247656671073,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,3,5,1,0,2612.676788470364
25,11.695255355062795,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,3,1,0,0,2565.142794168509
26,12.54254845357358,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,3,4,2,1,797.2861366264711
26,12.532151774715706,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,3,5,1,0,1595.8951311418907
23,12.531776395271262,OWN,3.0,PERSONAL,A,35000,10.99,0,0.13,N,4,2,4,0,0,2792.9001361057553
25,11.759793355371237,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,3,4,0,0,2551.065235027929
24,9.392745258631441,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3,2,5,4,1,186.31400637548873
21,11.782960235741939,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,3,5,0,0,2546.0494985800983
22,12.524530013005734,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,2,5,1,0,958.119784737547
26,12.479913113434042,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4,0,1,1,0,801.2876298982777
25,12.309761264347044,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0,3,3,0,2030.9085987238352
22,11.156264806643742,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,3,1,3,0,2608.399899460119
22,9.392745258631441,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0,1,3,1,159.6977197504189
26,12.468440756144114,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,2,2,1,0,2245.669731093068
25,12.464587201678082,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0,2,3,1,1604.545716307993
24,12.449022745701502,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0,1,0,0,771.1448678423184
25,12.429220196836383,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,3,3,2,0,2011.3892588662372
25,9.392745258631441,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3,2,3,2,0,319.3954395008378
22,10.949946527983677,RENT,6.0,MEDICAL,A,28000,10.99,1,0.49,N,2,3,3,0,0,2557.0901125812093
21,9.392745258631441,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,2,1,2,1,319.3954395008378
23,11.082157933374816,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,3,1,0,0,2526.583736519016
26,11.350418300109132,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,3,5,0,0,2466.869436849811
26,9.392745258631441,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,2,1,0,0,649.4373936517036
22,11.385103457032141,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,3,5,1,0,2459.3540239377867
21,9.392745258631441,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,2,4,2,1,447.153615301173
22,9.392745258631441,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,2,0,0,0,505.7094458763266
24,11.326656125928176,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,3,5,3,1,2472.0446783852112
24,12.429220196836383,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,3,1,2,1,1448.2002663836909
80,12.429220196836383,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,3,5,2,0,386.18673770231754
25,11.51293546492023,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,3,0,1,0,2432.0469862196005
26,11.608244735642321,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,3,1,0,0,2412.07871109298
26,9.392745258631441,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4,2,0,0,0,287.45589555075406
22,11.58989576532275,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4,3,1,1,0,2415.8974823377343
23,11.926365356462313,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,3,0,1,0,2347.739580594701
24,11.141876276228,RENT,2.0,HOMEIMPROVEMENT,A,27600,10.99,1,0.4,N,2,3,2,0,0,2477.1411309679143
21,9.392745258631441,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0,0,4,1,346.01172612590767
22,11.156264806643742,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,3,1,2,1,2464.982722857501
22,12.388398368982115,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2,2,4,1,0,2018.0171201625726
26,11.200964361058276,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,3,5,3,1,2414.9706336039353
24,11.326607934898927,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,3,4,2,1,2383.767510554424
24,11.203679214602607,RENT,0.0,VENTURE,D,27000,10.99,1,0.37,N,3,3,5,3,0,2409.922622990566
23,11.042937835596494,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,3,3,1,0,2354.4459261728325
23,11.695255355062795,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,3,1,1,0,2188.9218510237947
24,9.422301633887823,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,2,3,2,0,169.80988957576062
22,11.002116507732017,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,3,5,1,0,2315.463573040405
25,12.36308066783498,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0,3,2,1,1617.7197688302713
24,12.36308066783498,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,2,2,1,0,1617.7197688302713
26,12.36308066783498,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0,2,1,0,1747.1373503366929
25,12.30594060467835,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0,0,3,1,967.0126309138838
26,12.356649805075568,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0,3,2,1,2023.2021133860328
25,12.345838935721968,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0,3,2,0,2834.963276471195
23,11.326607934898927,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,3,1,1,0,2233.678445075071
25,9.441531454869693,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,2,4,2,0,185.35128632097033
21,10.657282884047461,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,3,1,2,1,2345.8136817801546
24,10.62135173563291,RENT,2.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.61,N,3,3,2,3,0,2353.749374114884
25,9.458527693729824,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,2,0,2,1,317.17409909247687
24,9.469700127423375,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0,2,1,0,385.43987147279756
26,12.328294703023394,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0,2,1,0,1622.284385779259
25,12.323860125621126,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0,2,4,1,2434.3022149067106
26,12.269052139516223,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0,1,1,0,2852.7061098120066
24,12.323860125621126,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4,3,3,1,0,486.86044298134215
24,9.469700127423375,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0,0,1,0,475.1998415418052
23,9.47247384058159,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,2,0,2,1,253.3657036578995
22,10.645448706505872,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,3,3,3,1,2348.4214418055926
26,10.778977123006351,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,3,1,1,0,2319.329535141205
25,9.47247384058159,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,2,3,3,0,380.04855548684924
22,9.47247384058159,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3,2,1,1,0,501.4529551562594
25,10.65398340661328,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,3,1,4,1,2346.540166796362
21,10.799595985047786,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,3,1,1,0,2314.901412479958
25,12.323860125621126,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0,5,5,0,2028.5851790889255
26,12.323860125621126,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,3,1,0,0,243.43022149067107
23,12.323860125621126,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,3,0,0,0,608.5755537266776
26,12.323860125621126,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0,5,1,0,2028.5851790889255
22,10.809020627757324,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,3,4,1,0,2312.882994764628
23,10.819798284210286,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,3,0,0,0,2310.5791201748543
25,10.819798284210286,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,3,2,0,0,2310.5791201748543
24,10.691967639914864,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,3,0,3,0,2338.2038593785965
23,10.819798284210286,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,3,5,1,0,2310.5791201748543
22,10.819878279410617,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,3,5,1,0,2310.5620372433436
22,10.819878279410617,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,3,5,2,0,2310.5620372433436
22,10.859018228147887,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,3,1,1,0,2302.233910538706
23,9.488047863280759,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,2,0,0,0,521.7090039308042
24,12.301387370778713,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0,1,1,0,2032.2910942050457
23,12.283038316285214,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0,0,0,0,1709.674712335431
25,12.283038316285214,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0,1,3,0,2035.3270384945606
26,12.283038316285214,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0,1,2,1,1628.2616307956484
23,12.278397958261774,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0,3,2,1,2850.5347455731817
26,12.278397958261774,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0,1,0,0,977.3261984822337
23,10.859018228147887,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,3,4,2,0,2302.233910538706
26,10.736418414365376,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,3,0,3,0,2328.5232593534065
22,10.87806606028079,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,3,1,2,1,2298.202627329392
26,10.757924157061597,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,3,2,3,1,2323.8684001680544
23,10.757924157061597,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,3,5,4,0,2323.8684001680544
23,9.488047863280759,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0,1,1,0,147.55406171780322
21,9.488047863280759,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,2,5,2,0,474.28091266436746
22,12.25486757159303,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0,5,1,0,1305.6036637301772
26,12.25486757159303,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,2,4,1,0,1795.2050376289938
26,10.778977123006351,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,3,5,5,0,2319.329535141205
22,10.915033917272405,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4,3,1,1,0,2290.4189019915875
24,10.915106645867503,RENT,4.0,HOMEIMPROVEMENT,D,25000,10.99,1,0.45,Y,4,3,2,3,1,2290.4036406703444
23,10.915106645867503,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,3,1,1,0,2290.4036406703444
23,10.915106645867503,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,3,1,3,1,2290.4036406703444
24,10.918083973194406,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,3,4,2,1,2289.779054766284
26,10.933124826700707,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,3,0,2,0,2286.6289735342075
24,12.223426197857627,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,2,3,2,0,1636.2024588085912
23,12.154784614286667,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0,1,5,1,1809.9868239657098
23,9.541153770388567,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,2,4,4,0,812.2707364860318
24,11.002116507732017,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,3,4,1,0,2272.2900618649705
24,11.002116507732017,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,3,4,1,0,2272.2900618649705
26,10.896757843893464,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,3,0,3,1,2294.2603991158694
23,9.546884034617925,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3,2,0,3,0,418.98487354571535
24,12.206077645517674,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,3,3,1,0,983.1168003758071
24,12.206077645517674,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0,2,2,0,983.1168003758071
21,12.206077645517674,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0,1,2,0,1310.8224005010761
25,10.896757843893464,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,3,2,4,0,2294.2603991158694
23,11.002116507732017,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,3,4,2,0,2272.2900618649705
23,11.002116507732017,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,3,4,1,0,2272.2900618649705
21,11.002116507732017,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,3,1,1,0,2272.2900618649705
25,11.034244294530804,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,3,3,2,0,2265.673963045336
22,10.94024216782542,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,3,2,3,1,2285.141372237944
23,12.206077645517674,MORTGAGE,7.0,EDUCATION,A,28000,10.99,0,0.14,N,2,0,1,0,0,2293.939200876883
21,12.206077645517674,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0,0,2,0,2048.1600007829315
24,12.206077645517674,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0,5,0,0,1966.2336007516142
26,12.206077645517674,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0,1,2,0,1228.8960004697587
25,12.206077645517674,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0,0,1,0,1269.8592004854174
24,12.206077645517674,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,3,1,0,0,819.2640003131726
24,11.097425172408931,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,3,1,1,0,2252.774820429199
22,11.097425172408931,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,3,1,2,1,2252.774820429199
22,12.206077645517674,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0,0,0,0,737.3376002818553
80,12.206077645517674,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0,1,1,0,491.55840018790354
25,12.206077645517674,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,3,1,3,0,1474.6752005637106
25,12.206077645517674,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0,5,1,0,983.1168003758071
25,12.206077645517674,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0,4,2,0,1888.4035207218628
24,12.206077645517674,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3,0,0,1,0,1638.5280006263451
24,11.002116507732017,RENT,2.0,DEBTCONSOLIDATION,E,25000,10.99,1,0.42,Y,2,3,0,4,1,2272.2900618649705
21,9.575052927597383,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4,2,2,1,0,313.31419499033245
26,11.11240312125122,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,3,4,3,1,2249.7383983659047
23,11.112462823634855,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,3,1,0,0,2249.7263115092765
24,11.112462823634855,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,3,5,1,0,2249.7263115092765
24,11.127277689932466,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,3,4,3,1,2246.7310241227324
25,11.141876276228,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,3,4,3,0,2243.7872563115166
25,12.206077645517674,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0,1,1,0,983.1168003758071
26,12.144202560946876,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0,5,4,0,1646.8763510512963
26,12.206077645517674,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0,4,2,0,245.77920009395177
25,11.156207662970246,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,3,1,3,0,2240.904862588759
22,9.575052927597383,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,2,3,1,0,417.75225998710994
24,11.156264806643742,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,3,1,1,0,2240.8933844159096
24,9.575052927597383,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,2,4,0,0,626.6283899806649
24,10.934908916663861,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,3,3,3,0,2286.2558975596176
25,11.097425172408931,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,3,5,3,1,2252.774820429199
26,11.097425172408931,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,3,2,1,0,2252.774820429199
25,9.575052927597383,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,2,1,0,0,561.3545993576789
25,11.192899248143839,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,3,3,2,0,2233.558923899529
23,11.211833885608513,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,3,3,1,0,2229.7868711817027
25,11.225256725762893,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,3,0,1,0,2227.1205559711548
24,12.165255859329688,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2,3,3,2,1,1808.4288776489582
21,12.165255859329688,MORTGAGE,50.0,VENTURE,A,20000,6.54,0,0.1,N,4,0,5,0,0,1644.0262524081438
25,12.160033942617156,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0,3,1,0,822.3661255543946
26,12.15636230813118,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3,0,4,0,0,1233.921762102036
22,12.154784614286667,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3,0,5,2,0,822.7212836207772
24,11.225256725762893,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,3,1,1,0,2227.1205559711548
22,11.170449240431308,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,3,1,3,1,2238.047858407771
26,12.154784614286667,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0,5,1,0,1645.4425672415543
